n,s
6.5.1,5568.845499
60.4.1,3315.54393
60.4.2,4803.912352
60.4.3,2936.793717
60.4.4,4036.457228
60.4.5,2492.4215
60.4.6,3133.526946
48.8.1,7586.690797
48.8.2,6138.855282
47.5.1,629.1884299
47.5.2,552.6014375
47.5.4,1346.85541
47.5.5,1958.313882
47.5.6,2013.006961
12.7.1,5913.302841
12.7.2,7764.477395
12.7.3,5834.169552
12.7.4,9119.697336
12.7.5,5074.941152
12.7.6,6187.970344
4.14.1,6991.737723
4.14.3,8465.354638
4.14.4,10582.7363
4.14.5,7039.587355
4.14.6,9973.017004
3.6.1,2333.70244
3.6.2,1830.215571
3.6.3,4719.871498
3.6.4,4101.657459
2.8.1,3479.138168
2.8.2,4076.693042
2.8.5,4497.945514
2.8.6,5274.763633
6.5.3,8012.209519